locus_tag	ftype	length_bp	gene	EC_number	COG	product
NOGGKBHB_00357	CDS	1020	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
NOGGKBHB_00358	CDS	450				hypothetical protein
NOGGKBHB_00359	CDS	2970				hypothetical protein
NOGGKBHB_00360	CDS	1221			COG2081	putative protein
NOGGKBHB_00361	CDS	660	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
NOGGKBHB_00362	CDS	762				hypothetical protein
NOGGKBHB_00363	CDS	1056	nadR		COG1056	Trifunctional NAD biosynthesis/regulator protein NadR
NOGGKBHB_00364	CDS	246				hypothetical protein
NOGGKBHB_00365	CDS	957	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
NOGGKBHB_00366	CDS	2079	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
NOGGKBHB_00367	tRNA	91				tRNA-Ser(gga)
NOGGKBHB_00368	CDS	234	intA		COG0582	Prophage integrase IntA
NOGGKBHB_00369	CDS	906				hypothetical protein
NOGGKBHB_00370	CDS	237				hypothetical protein
NOGGKBHB_00371	CDS	378	vapC	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
NOGGKBHB_00372	CDS	1065				hypothetical protein
NOGGKBHB_00373	CDS	681				hypothetical protein
NOGGKBHB_00374	CDS	210				hypothetical protein
NOGGKBHB_00375	CDS	255				hypothetical protein
NOGGKBHB_00376	CDS	471				hypothetical protein
NOGGKBHB_00377	CDS	231				hypothetical protein
NOGGKBHB_00378	CDS	204				hypothetical protein
NOGGKBHB_00379	CDS	732				hypothetical protein
NOGGKBHB_00380	CDS	1233				hypothetical protein
NOGGKBHB_00381	CDS	264				hypothetical protein
NOGGKBHB_00382	CDS	768	aat	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
NOGGKBHB_00383	CDS	1263	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
NOGGKBHB_00384	CDS	483	ubiC	4.1.3.40	COG3161	Chorismate pyruvate-lyase
NOGGKBHB_00385	CDS	1599		4.1.3.1	COG2224	Isocitrate lyase
NOGGKBHB_00386	CDS	2163	glcB	2.3.3.9	COG2225	Malate synthase G
NOGGKBHB_00387	CDS	3495	rne	3.1.26.12		Ribonuclease E
NOGGKBHB_00388	CDS	1149	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
NOGGKBHB_00389	CDS	1551	ppx_2	3.6.1.11	COG0248	Exopolyphosphatase
NOGGKBHB_00390	CDS	798	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
NOGGKBHB_00391	CDS	1356	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
NOGGKBHB_00392	CDS	846	proC_1	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
NOGGKBHB_00393	CDS	564				hypothetical protein
NOGGKBHB_00394	CDS	798	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
NOGGKBHB_00395	tRNA	92				tRNA-Ser(gct)
NOGGKBHB_00396	tRNA	77				tRNA-Arg(acg)
NOGGKBHB_00397	CDS	612				hypothetical protein
NOGGKBHB_00398	CDS	1410	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
NOGGKBHB_00399	CDS	573	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
NOGGKBHB_00400	CDS	672				hypothetical protein
NOGGKBHB_00401	CDS	1497	opuE		COG0591	Osmoregulated proline transporter OpuE
NOGGKBHB_00402	CDS	216	rpsU		COG0828	30S ribosomal protein S21
NOGGKBHB_00403	CDS	276	minE		COG0851	Cell division topological specificity factor
NOGGKBHB_00404	CDS	816	minD		COG2894	Septum site-determining protein MinD
NOGGKBHB_00405	CDS	783	minC			septum site-determining protein MinC
NOGGKBHB_00406	CDS	1044				hypothetical protein
NOGGKBHB_00407	CDS	234				hypothetical protein
NOGGKBHB_00408	CDS	957	yihG	2.3.-.-	COG0204	putative acyltransferase YihG
NOGGKBHB_00409	CDS	675	yiaD		COG2885	putative lipoprotein YiaD
NOGGKBHB_00410	CDS	525				hypothetical protein
NOGGKBHB_00411	tRNA	77				tRNA-Pro(ggg)
NOGGKBHB_00412	CDS	1473	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
NOGGKBHB_00413	CDS	942	blaP	3.5.2.6		Beta-lactamase
NOGGKBHB_00414	CDS	1479	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
NOGGKBHB_00415	CDS	288	gatC	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
NOGGKBHB_00416	CDS	612	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
NOGGKBHB_00417	CDS	1629	rng	3.1.26.-	COG1530	Ribonuclease G
NOGGKBHB_00418	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
NOGGKBHB_00419	CDS	639	rplC		COG0087	50S ribosomal protein L3
NOGGKBHB_00420	CDS	603	rplD		COG0088	50S ribosomal protein L4
NOGGKBHB_00421	CDS	330	rplW		COG0089	50S ribosomal protein L23
NOGGKBHB_00422	CDS	828	rplB		COG0090	50S ribosomal protein L2
NOGGKBHB_00423	CDS	276	rpsS		COG0185	30S ribosomal protein S19
NOGGKBHB_00424	CDS	330	rplV		COG0091	50S ribosomal protein L22
NOGGKBHB_00425	CDS	723	rpsC		COG0092	30S ribosomal protein S3
NOGGKBHB_00426	CDS	414	rplP		COG0197	50S ribosomal protein L16
NOGGKBHB_00427	CDS	198	rpmC		COG0255	50S ribosomal protein L29
NOGGKBHB_00428	CDS	273	rpsQ		COG0186	30S ribosomal protein S17
NOGGKBHB_00429	CDS	369	rplN		COG0093	50S ribosomal protein L14
NOGGKBHB_00430	CDS	318	rplX		COG0198	50S ribosomal protein L24
NOGGKBHB_00431	CDS	537	rplE		COG0094	50S ribosomal protein L5
NOGGKBHB_00432	CDS	306	rpsN		COG0199	30S ribosomal protein S14
NOGGKBHB_00433	CDS	399	rpsH		COG0096	30S ribosomal protein S8
NOGGKBHB_00434	CDS	534	rplF		COG0097	50S ribosomal protein L6
NOGGKBHB_00435	CDS	351	rplR		COG0256	50S ribosomal protein L18
NOGGKBHB_00436	CDS	498	rpsE		COG0098	30S ribosomal protein S5
NOGGKBHB_00437	CDS	180	rpmD		COG1841	50S ribosomal protein L30
NOGGKBHB_00438	CDS	441	rplO		COG0200	50S ribosomal protein L15
NOGGKBHB_00439	CDS	1326	secY		COG0201	Protein translocase subunit SecY
NOGGKBHB_00440	CDS	357	rpsM		COG0099	30S ribosomal protein S13
NOGGKBHB_00441	CDS	393	rpsK		COG0100	30S ribosomal protein S11
NOGGKBHB_00442	CDS	642	rpsD		COG0522	30S ribosomal protein S4
NOGGKBHB_00443	CDS	1005	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
NOGGKBHB_00444	CDS	360	rplQ		COG0203	50S ribosomal protein L17
NOGGKBHB_00445	CDS	567	yciO		COG0009	putative protein YciO
NOGGKBHB_00446	CDS	759				hypothetical protein
NOGGKBHB_00447	CDS	543				hypothetical protein
NOGGKBHB_00448	CDS	183	rpmF		COG0333	50S ribosomal protein L32
NOGGKBHB_00449	CDS	960	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
NOGGKBHB_00450	CDS	729	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
NOGGKBHB_00451	CDS	237	acpP		COG0236	Acyl carrier protein
NOGGKBHB_00452	CDS	498	kbp		COG1652	Potassium binding protein Kbp
NOGGKBHB_00453	CDS	390				hypothetical protein
NOGGKBHB_00454	CDS	1836	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
NOGGKBHB_00455	CDS	516	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
NOGGKBHB_00456	CDS	1023	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
NOGGKBHB_00457	CDS	411				hypothetical protein
NOGGKBHB_00458	CDS	213	cspV		COG1278	Cold shock protein CspV
NOGGKBHB_00459	CDS	591	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
NOGGKBHB_00460	CDS	582				hypothetical protein
NOGGKBHB_00461	CDS	1395	norM		COG0534	Multidrug resistance protein NorM
NOGGKBHB_00462	CDS	1176	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
NOGGKBHB_00463	CDS	1410	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
NOGGKBHB_00464	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
NOGGKBHB_00465	CDS	366				hypothetical protein
NOGGKBHB_00466	CDS	249				hypothetical protein
NOGGKBHB_00467	CDS	999				hypothetical protein
NOGGKBHB_00468	CDS	1233	nth_1	4.2.99.18		Endonuclease III
NOGGKBHB_00469	CDS	981		2.5.1.10		Farnesyl diphosphate synthase
NOGGKBHB_00470	tRNA	76				tRNA-Phe(gaa)
NOGGKBHB_00471	CDS	957		1.-.-.-	COG1052	Putative 2-hydroxyacid dehydrogenase
NOGGKBHB_00472	CDS	2865	rapA	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
NOGGKBHB_00473	CDS	1515	comM		COG0606	Competence protein ComM
NOGGKBHB_00474	CDS	2151	fadH	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
NOGGKBHB_00475	CDS	336	blh_2	3.-.-.-	COG0491	Beta-lactamase hydrolase-like protein
NOGGKBHB_00476	CDS	789	map	3.4.11.18	COG0024	Methionine aminopeptidase
NOGGKBHB_00477	CDS	2751	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
NOGGKBHB_00478	CDS	816				hypothetical protein
NOGGKBHB_00479	rRNA	2010				23S ribosomal RNA (partial)
NOGGKBHB_00480	CDS	669				hypothetical protein
NOGGKBHB_00481	CDS	402				hypothetical protein
NOGGKBHB_00482	CDS	594				hypothetical protein
NOGGKBHB_00483	CDS	840				hypothetical protein
NOGGKBHB_00484	CDS	636				hypothetical protein
NOGGKBHB_00485	CDS	228				hypothetical protein
NOGGKBHB_00486	CDS	411				hypothetical protein
NOGGKBHB_00487	CDS	465				hypothetical protein
NOGGKBHB_00488	CDS	471				hypothetical protein
NOGGKBHB_00489	CDS	795	moeB_1	2.7.7.80	COG0476	Molybdopterin-synthase adenylyltransferase
NOGGKBHB_00490	CDS	1347	narK		COG2223	Nitrate/nitrite transporter NarK
NOGGKBHB_00491	CDS	1272	narT		COG2223	putative nitrate transporter NarT
NOGGKBHB_00492	CDS	1971	narX	2.7.13.3		Nitrate/nitrite sensor protein NarX
NOGGKBHB_00493	CDS	657	narL		COG2197	Nitrate/nitrite response regulator protein NarL
NOGGKBHB_00494	CDS	1086	moaA	4.1.99.22	COG2896	GTP 3',8-cyclase
NOGGKBHB_00495	CDS	678				hypothetical protein
NOGGKBHB_00496	CDS	570	moaB		COG0521	Molybdenum cofactor biosynthesis protein B
NOGGKBHB_00497	CDS	588	mobA	2.7.7.77	COG0746	putative molybdenum cofactor guanylyltransferase
NOGGKBHB_00498	CDS	492	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
NOGGKBHB_00499	CDS	252				hypothetical protein
NOGGKBHB_00500	CDS	495				hypothetical protein
NOGGKBHB_00501	CDS	426	mopA		COG2005	Molybdenum-pterin-binding protein MopA
NOGGKBHB_00502	CDS	765	modA		COG0725	Molybdate-binding protein ModA
NOGGKBHB_00503	CDS	693	modB		COG4149	Molybdenum transport system permease protein ModB
NOGGKBHB_00504	CDS	672	fbpC_2	7.2.2.7		Fe(3+) ions import ATP-binding protein FbpC
NOGGKBHB_00505	CDS	1278	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
NOGGKBHB_00506	CDS	1029	surA_1	5.2.1.8		Chaperone SurA
NOGGKBHB_00507	CDS	243				hypothetical protein
NOGGKBHB_00508	CDS	705	narV	1.7.5.1	COG2181	Respiratory nitrate reductase 2 gamma chain
NOGGKBHB_00509	CDS	801	narW		COG2180	putative nitrate reductase molybdenum cofactor assembly chaperone NarW
NOGGKBHB_00510	CDS	1539	narH	1.7.5.1	COG1140	Respiratory nitrate reductase 1 beta chain
NOGGKBHB_00511	CDS	3756	narG	1.7.5.1	COG5013	Respiratory nitrate reductase 1 alpha chain
NOGGKBHB_00512	CDS	633	can	4.2.1.1	COG0288	Carbonic anhydrase 2
NOGGKBHB_00513	CDS	777				hypothetical protein
NOGGKBHB_00514	CDS	1266				hypothetical protein
NOGGKBHB_00515	tRNA	76				tRNA-Gly(gcc)
NOGGKBHB_00516	CDS	1491	thiI	2.8.1.4	COG0301	tRNA sulfurtransferase
NOGGKBHB_00517	CDS	2865			COG1629	putative TonB-dependent receptor
NOGGKBHB_00518	CDS	465	scoB	2.8.3.5	COG2057	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B
NOGGKBHB_00519	CDS	501				hypothetical protein
NOGGKBHB_00520	tRNA	77				tRNA-Asp(gtc)
NOGGKBHB_00521	CDS	1515	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
NOGGKBHB_00522	CDS	750	pmpR		COG0217	Transcriptional regulatory protein PmpR
NOGGKBHB_00523	CDS	1542	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
NOGGKBHB_00524	CDS	255	haeIIIM_1	2.1.1.37		Modification methylase HaeIII
NOGGKBHB_00525	CDS	669	haeIIIM_2	2.1.1.37		Modification methylase HaeIII
NOGGKBHB_00526	CDS	402	hslR		COG1188	Heat shock protein 15
NOGGKBHB_00527	CDS	501		3.1.3.48		Putative low molecular weight protein-tyrosine-phosphatase
NOGGKBHB_00528	CDS	1008	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
NOGGKBHB_00529	CDS	759				hypothetical protein
NOGGKBHB_00530	tRNA	91				tRNA-Ser(tga)
NOGGKBHB_00531	tRNA	91				tRNA-Ser(tga)
NOGGKBHB_00532	CDS	1728	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
NOGGKBHB_00533	CDS	822	fpr_1	1.18.1.2	COG1018	Flavodoxin/ferredoxin--NADP reductase
NOGGKBHB_00534	CDS	750	PGdx	1.11.1.15	COG0678	Hybrid peroxiredoxin hyPrx5
NOGGKBHB_00535	CDS	1479	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
NOGGKBHB_00536	CDS	1728	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
NOGGKBHB_00537	CDS	1854	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
NOGGKBHB_00538	CDS	375	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
NOGGKBHB_00539	CDS	633	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
NOGGKBHB_00540	CDS	549	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
NOGGKBHB_00541	CDS	1029	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
NOGGKBHB_00542	CDS	3102	nuoG	7.1.1.-	COG1034	NADH-quinone oxidoreductase subunit G
NOGGKBHB_00543	CDS	1419	nuoF	7.1.1.-	COG1894	NADH-quinone oxidoreductase subunit F
NOGGKBHB_00544	CDS	510	nuoE	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit E
NOGGKBHB_00545	CDS	768				hypothetical protein
NOGGKBHB_00546	CDS	1071				hypothetical protein
NOGGKBHB_00547	CDS	1242				hypothetical protein
NOGGKBHB_00548	CDS	1749	nuoC	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit C/D
NOGGKBHB_00549	CDS	672	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
NOGGKBHB_00550	CDS	609	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic
NOGGKBHB_00551	CDS	213	copZ			Copper chaperone CopZ
NOGGKBHB_00552	CDS	669	lolA		COG2834	Outer-membrane lipoprotein carrier protein
NOGGKBHB_00553	CDS	636	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
NOGGKBHB_00554	CDS	1356	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
NOGGKBHB_00555	CDS	906				hypothetical protein
NOGGKBHB_00556	CDS	780				hypothetical protein
NOGGKBHB_00557	CDS	969	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
NOGGKBHB_00558	CDS	807	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
NOGGKBHB_00559	CDS	1635				hypothetical protein
NOGGKBHB_00560	CDS	2148	tbpB			Transferrin-binding protein 2
NOGGKBHB_00561	CDS	1512				TPR repeat-containing protein
NOGGKBHB_00562	CDS	318				hypothetical protein
NOGGKBHB_00563	CDS	3216	btuB_1			Vitamin B12 transporter BtuB
NOGGKBHB_00564	CDS	1392	ahcY	3.3.1.1	COG0499	Adenosylhomocysteinase
NOGGKBHB_00565	CDS	1677	msrAB			Peptide methionine sulfoxide reductase MsrA/MsrB
NOGGKBHB_00566	CDS	744	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
NOGGKBHB_00567	CDS	891	folP	2.5.1.15	COG0294	Dihydropteroate synthase
NOGGKBHB_00568	CDS	1410	hflX		COG2262	GTPase HflX
NOGGKBHB_00569	CDS	906	htpX	3.4.24.-	COG0501	Protease HtpX
NOGGKBHB_00570	CDS	912	mltC	4.2.2.-		Membrane-bound lytic murein transglycosylase C
NOGGKBHB_00571	CDS	696	cidB		COG1346	Holin-like protein CidB
NOGGKBHB_00572	CDS	414				hypothetical protein
NOGGKBHB_00573	CDS	1881	rpoD		COG0568	RNA polymerase sigma factor RpoD
NOGGKBHB_00574	CDS	2310				hypothetical protein
NOGGKBHB_00575	CDS	132				hypothetical protein
NOGGKBHB_00576	CDS	819	dmdC_2	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
NOGGKBHB_00577	CDS	1527		2.8.3.18		Succinyl-CoA:acetate CoA-transferase
NOGGKBHB_00578	CDS	1050	prfB		COG1186	Peptide chain release factor RF2
NOGGKBHB_00579	CDS	675		3.1.3.-	COG0560	putative phosphatase
NOGGKBHB_00580	CDS	126				hypothetical protein
NOGGKBHB_00581	CDS	711				hypothetical protein
NOGGKBHB_00582	CDS	282				hypothetical protein
NOGGKBHB_00583	CDS	267				hypothetical protein
NOGGKBHB_00584	CDS	1092	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 1
NOGGKBHB_00585	CDS	1857	recD2	3.6.4.12		ATP-dependent RecD-like DNA helicase
NOGGKBHB_00586	CDS	1752	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
NOGGKBHB_00587	CDS	510		5.2.1.8		Peptidyl-prolyl cis-trans isomerase cyp18
NOGGKBHB_00588	CDS	798	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
NOGGKBHB_00589	CDS	579	yceI			Protein YceI
NOGGKBHB_00590	CDS	588	orn	3.1.-.-	COG1949	Oligoribonuclease
NOGGKBHB_00591	CDS	663				hypothetical protein
NOGGKBHB_00592	CDS	1161	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
NOGGKBHB_00593	CDS	345				hypothetical protein
NOGGKBHB_00594	CDS	678	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
NOGGKBHB_00595	CDS	1245	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
NOGGKBHB_00596	CDS	510				hypothetical protein
NOGGKBHB_00597	CDS	1500				hypothetical protein
NOGGKBHB_00598	CDS	420				hypothetical protein
NOGGKBHB_00599	CDS	411				hypothetical protein
NOGGKBHB_00600	CDS	1263				hypothetical protein
NOGGKBHB_00601	CDS	978				hypothetical protein
NOGGKBHB_00602	CDS	672	estB	3.1.1.1	COG0400	Carboxylesterase 2
NOGGKBHB_00603	CDS	894				hypothetical protein
NOGGKBHB_00604	CDS	876				hypothetical protein
NOGGKBHB_00605	CDS	1062				hypothetical protein
NOGGKBHB_00606	CDS	618	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
NOGGKBHB_00607	CDS	858	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
NOGGKBHB_00608	CDS	645	ubiJ			Ubiquinone biosynthesis accessory factor UbiJ
NOGGKBHB_00609	CDS	1641	ubiB_1	2.7.-.-	COG0661	putative protein kinase UbiB
NOGGKBHB_00610	CDS	507	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
NOGGKBHB_00611	CDS	291				hypothetical protein
NOGGKBHB_00612	CDS	978	nadK	2.7.1.23	COG0061	NAD kinase
NOGGKBHB_00613	CDS	720				hypothetical protein
NOGGKBHB_00614	CDS	2646	copA_1	7.2.2.8		putative copper-importing P-type ATPase A
NOGGKBHB_00615	CDS	2340	mrcB		COG0744	Penicillin-binding protein 1B
NOGGKBHB_00616	CDS	2823				hypothetical protein
NOGGKBHB_00617	CDS	933	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
NOGGKBHB_00618	CDS	246	fis		COG2901	DNA-binding protein Fis
NOGGKBHB_00619	CDS	6837				hypothetical protein
NOGGKBHB_00620	CDS	1599	purH		COG0138	Bifunctional purine biosynthesis protein PurH
NOGGKBHB_00621	CDS	1854	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
NOGGKBHB_00622	CDS	273	hupB		COG0776	DNA-binding protein HU-beta
NOGGKBHB_00623	CDS	678				hypothetical protein
NOGGKBHB_00624	CDS	507	iscR		COG1959	HTH-type transcriptional regulator IscR
NOGGKBHB_00625	CDS	1224	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
NOGGKBHB_00626	CDS	384	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
NOGGKBHB_00627	CDS	321	iscA		COG0316	Iron-binding protein IscA
NOGGKBHB_00628	CDS	519	hscB		COG1076	Co-chaperone protein HscB
NOGGKBHB_00629	CDS	1860	hscA		COG0443	Chaperone protein HscA
NOGGKBHB_00630	CDS	339	fdx_2		COG0633	2Fe-2S ferredoxin
NOGGKBHB_00631	CDS	351				hypothetical protein
NOGGKBHB_00632	CDS	228				hypothetical protein
NOGGKBHB_00633	CDS	291				hypothetical protein
NOGGKBHB_00634	CDS	327				hypothetical protein
NOGGKBHB_00635	CDS	393				hypothetical protein
NOGGKBHB_00636	CDS	276				hypothetical protein
NOGGKBHB_00637	CDS	336	grxD		COG0278	Glutaredoxin 4
NOGGKBHB_00638	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
NOGGKBHB_00639	CDS	486	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
NOGGKBHB_00640	CDS	1179	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
NOGGKBHB_00641	CDS	1269				hypothetical protein
NOGGKBHB_00642	CDS	1389	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
NOGGKBHB_00643	CDS	228				hypothetical protein
NOGGKBHB_00644	CDS	2682	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
NOGGKBHB_00645	CDS	1566	dtpT		COG3104	Di-/tripeptide transporter
NOGGKBHB_00646	CDS	285				hypothetical protein
NOGGKBHB_00647	CDS	1284	lysC	2.7.2.4	COG0527	Aspartate kinase Ask_LysC
NOGGKBHB_00648	CDS	252	csrA			Translational regulator CsrA
NOGGKBHB_00649	CDS	348				hypothetical protein
NOGGKBHB_00650	CDS	237	rpmB		COG0227	50S ribosomal protein L28
NOGGKBHB_00651	CDS	156	rpmG		COG0267	50S ribosomal protein L33
NOGGKBHB_00652	CDS	756				hypothetical protein
NOGGKBHB_00653	tRNA	76				tRNA-Asn(gtt)
NOGGKBHB_00654	CDS	669	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
NOGGKBHB_00655	CDS	1047	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
NOGGKBHB_00656	CDS	1110			COG0628	Putative transport protein
NOGGKBHB_00657	CDS	765	dnaA_1			Chromosomal replication initiator protein DnaA
NOGGKBHB_00658	CDS	645				hypothetical protein
NOGGKBHB_00659	CDS	258	rpmA		COG0211	50S ribosomal protein L27
NOGGKBHB_00660	CDS	312	rplU		COG0261	50S ribosomal protein L21
NOGGKBHB_00661	CDS	918	syrM1_1			HTH-type transcriptional regulator SyrM 1
NOGGKBHB_00662	CDS	1062	namA	1.6.99.1	COG1902	NADPH dehydrogenase
NOGGKBHB_00663	CDS	660		1.-.-.-	COG0778	Putative NAD(P)H nitroreductase
NOGGKBHB_00664	CDS	264				hypothetical protein
NOGGKBHB_00665	CDS	519				hypothetical protein
NOGGKBHB_00666	CDS	1038				hypothetical protein
NOGGKBHB_00667	CDS	624	lemA		COG1704	Protein LemA
NOGGKBHB_00668	CDS	1506	acp			Sodium/proton-dependent alanine carrier protein
NOGGKBHB_00669	CDS	1329	ald1	1.2.1.48		Long-chain-aldehyde dehydrogenase
NOGGKBHB_00670	CDS	108				hypothetical protein
NOGGKBHB_00671	CDS	1992	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
NOGGKBHB_00672	CDS	129				hypothetical protein
NOGGKBHB_00673	CDS	1149	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
NOGGKBHB_00674	CDS	1605	cydA	1.10.3.-	COG1271	Cytochrome bd ubiquinol oxidase subunit 1
NOGGKBHB_00675	CDS	129				hypothetical protein
NOGGKBHB_00676	CDS	1488				hypothetical protein
NOGGKBHB_00677	CDS	774	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
NOGGKBHB_00678	CDS	528	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
NOGGKBHB_00679	CDS	1014	lpxD	2.3.1.-		UDP-3-O-acylglucosamine N-acyltransferase
NOGGKBHB_00680	CDS	2442	bamA_1		COG4775	Outer membrane protein assembly factor BamA
NOGGKBHB_00681	CDS	1374	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
NOGGKBHB_00682	CDS	1245	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
NOGGKBHB_00683	CDS	849	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
NOGGKBHB_00684	CDS	747	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
NOGGKBHB_00685	CDS	555	frr		COG0233	Ribosome-recycling factor
NOGGKBHB_00686	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
NOGGKBHB_00687	CDS	1989	tktA	2.2.1.1	COG0021	Transketolase 1
NOGGKBHB_00688	CDS	1269	serS	6.1.1.11	COG0172	Serine--tRNA ligase
NOGGKBHB_00689	CDS	654				hypothetical protein
NOGGKBHB_00690	CDS	420				hypothetical protein
NOGGKBHB_00691	CDS	1116	rpoH			RNA polymerase sigma factor RpoH
NOGGKBHB_00692	CDS	384				hypothetical protein
NOGGKBHB_00693	CDS	201				hypothetical protein
NOGGKBHB_00694	CDS	855	nit1	3.5.1.128		Deaminated glutathione amidase
